Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,1.67,0.91,1.52,0.15,0.00,0.23,0.53,42.9,0.30,9.24,3.33,36.1,6.67,2.12,0.45,1.89,0.98,0.00,0.91,1.06,2.73,7.42,0.00,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,42.5,12.5,29.4,5.00,17.5,20.0,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,2.50,1.57,1.02,1.30,0.19,1.02,4.07,25.0,3.06,27.1,7.87,29.0,9.26,13.4,4.44,1.85,0.37,0.00,1.48,0.83,3.33,1.48,0.00,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,1.08,0.58,0.89,0.18,0.00,0.50,1.00,50.0,0.50,5.39,1.82,33.7,4.00,1.39,0.00,0.97,0.47,0.00,0.50,0.63,1.71,4.32,0.00,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,2.45,1.52,1.47,0.83,0.15,1.03,1.72,60.0,0.69,10.6,3.82,36.1,5.54,3.97,1.08,2.11,0.49,0.00,1.62,0.59,3.04,2.75,0.05,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,0.86,0.57,0.07,0.36,0.43,0.21,0.86,25.0,0.64,16.7,4.93,29.5,1.00,6.71,9.00,0.57,0.07,0.00,0.50,0.36,1.21,0.07,0.00,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,1.80,1.07,1.00,0.67,0.13,0.53,2.67,20.0,2.13,25.0,4.73,18.9,8.33,13.1,3.53,1.33,0.40,0.00,0.93,0.87,2.67,1.00,0.00,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,0.81,0.48,0.56,0.26,0.00,0.33,0.85,39.1,0.52,6.07,2.04,33.5,4.11,1.63,0.33,1.74,1.04,0.00,0.70,0.70,1.52,8.22,0.04,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,1.34,0.93,0.34,0.72,0.28,0.38,2.24,16.9,1.86,20.9,5.93,28.4,5.03,12.0,3.86,1.83,0.41,0.00,1.41,0.86,2.21,1.97,0.00,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1.58,0.96,0.83,0.59,0.17,0.79,1.95,40.7,1.16,11.7,3.89,33.2,6.14,4.29,1.29,2.11,0.33,0.00,1.78,0.50,2.08,3.04,0.07,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,1.82,1.21,0.91,0.30,0.61,0.30,1.52,20.0,1.21,28.8,7.88,27.4,2.73,13.0,13.0,0.30,0.30,0.00,0.00,0.00,1.82,0.30,0.00,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,4.29,2.86,4.29,0.00,0.00,2.86,5.71,50.0,2.86,11.4,5.71,50.0,4.29,2.86,4.29,1.43,0.00,0.00,1.43,0.00,4.29,5.71,0.00,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0.71,0.00,0.00,0.71,0.00,0.71,1.43,50.0,0.71,18.6,3.57,19.2,14.3,4.29,0.00,3.57,0.71,0.00,2.86,2.86,3.57,2.86,0.71,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,0.85,0.35,0.71,0.14,0.00,0.50,0.99,50.0,0.50,2.91,1.13,39.0,2.06,0.85,0.00,1.21,0.43,0.00,0.78,0.78,1.63,5.67,0.00,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,2.58,1.29,1.29,1.29,0.00,1.61,2.58,62.5,0.97,13.2,3.23,24.4,8.39,4.19,0.65,2.90,1.29,0.00,1.61,0.65,3.23,4.84,0.00,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,1.89,0.82,0.82,0.88,0.19,0.31,1.51,20.8,1.19,13.5,3.96,29.4,6.16,5.72,1.57,2.70,0.82,0.00,1.89,0.75,2.64,4.21,0.06,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,1.60,0.80,0.58,0.71,0.31,0.36,2.27,15.7,1.91,18.9,4.40,23.3,6.98,9.33,2.58,1.51,0.18,0.00,1.33,1.24,2.84,1.56,0.04,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,0.33,0.33,0.00,0.33,0.00,0.00,0.49,0.0,0.49,14.4,3.11,21.6,0.49,8.20,5.74,0.82,0.16,0.00,0.66,0.00,0.33,0.49,0.00,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,1.15,0.73,0.57,0.50,0.08,0.53,1.18,45.2,0.65,7.06,2.79,39.5,4.08,2.52,0.46,2.14,1.34,0.04,0.80,0.80,1.95,6.30,0.04,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,1.42,0.90,0.35,0.58,0.48,0.35,1.87,19.0,1.52,17.9,5.71,31.9,2.68,7.42,7.77,1.00,0.06,0.00,0.94,0.35,1.77,0.61,0.03,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,0.97,0.69,0.08,0.57,0.32,0.36,1.21,30.0,0.85,18.5,4.33,23.4,2.15,9.23,7.17,0.81,0.08,0.00,0.73,0.24,1.21,0.89,0.00,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,2.20,0.83,0.83,0.83,0.53,0.83,2.42,34.4,1.59,14.3,4.17,29.1,5.76,6.59,1.97,1.67,0.45,0.00,1.21,0.98,3.18,1.44,0.08,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,2.19,1.29,1.32,0.61,0.26,0.74,1.99,37.1,1.25,18.4,5.27,28.6,8.17,8.20,2.06,1.70,0.42,0.00,1.29,0.74,2.93,3.05,0.10,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,1.24,0.90,0.64,0.34,0.26,0.56,2.83,19.7,2.27,21.9,5.71,26.0,4.89,8.93,8.11,0.69,0.00,0.00,0.69,1.12,2.36,0.26,0.00,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,1.68,0.94,0.87,0.67,0.13,0.40,1.48,27.3,1.07,13.7,3.62,26.5,6.17,6.24,1.28,1.74,0.74,0.00,1.01,0.40,2.08,5.23,0.00,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,2.58,1.16,1.72,0.65,0.21,0.89,1.99,44.8,1.10,14.8,3.98,26.9,7.39,4.69,2.70,2.05,0.30,0.00,1.75,0.71,3.29,4.30,0.03,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,0.79,0.53,0.53,0.24,0.03,0.16,0.39,40.0,0.24,3.50,1.21,34.6,2.21,0.97,0.32,0.84,0.42,0.03,0.42,0.63,1.42,6.82,0.05,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,1.04,0.52,0.72,0.33,0.00,0.49,1.04,46.9,0.55,7.92,2.74,34.6,5.08,2.57,0.26,1.53,0.68,0.00,0.85,1.04,2.08,6.19,0.10,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,2.82,1.75,1.75,0.58,0.49,0.78,2.23,34.8,1.46,25.7,7.67,29.8,6.50,11.7,7.57,2.33,0.19,0.00,2.14,0.68,3.50,1.17,0.00,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,2.06,1.05,1.14,0.79,0.13,0.83,1.59,52.0,0.76,12.0,3.40,28.2,5.75,4.51,1.78,2.03,0.16,0.00,1.87,0.60,2.67,2.48,0.03,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,1.99,1.40,0.83,0.85,0.31,0.46,1.71,26.7,1.25,27.0,6.78,25.1,7.64,13.2,6.15,1.68,0.26,0.00,1.42,0.63,2.62,1.28,0.00,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,25.0,5.00,20.0,5.00,15.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,3.33,3.33,1.67,1.67,0.00,0.00,1.67,0.0,1.67,38.3,8.33,21.7,16.7,16.7,5.00,1.67,0.00,0.00,1.67,3.33,6.67,0.00,0.00,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,3.10,1.72,2.07,0.69,0.34,0.34,4.48,7.7,4.14,36.6,7.59,20.8,12.4,20.0,4.14,1.03,0.00,0.00,1.03,2.41,5.52,1.38,0.34,Matches
120,Josip Drmiæ\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,0.56,0.42,0.28,0.14,0.14,0.14,1.53,9.1,1.39,19.2,4.86,25.4,3.47,7.78,7.92,1.11,0.00,0.00,1.11,0.42,0.97,0.69,0.14,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.24,0.00,0.0,0.24,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.03,0.08,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,2.38,1.88,1.25,0.75,0.38,0.88,2.50,35.0,1.63,24.6,6.75,27.4,6.50,13.1,5.00,2.25,0.25,0.00,2.00,0.63,3.00,0.88,0.00,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,1.16,0.65,0.72,0.36,0.07,0.29,1.30,22.2,1.01,7.25,2.46,34.0,5.14,1.96,0.14,1.52,0.58,0.00,0.94,0.94,2.10,8.41,0.00,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,2.06,0.44,1.32,0.44,0.29,0.88,1.47,60.0,0.59,12.0,2.94,24.5,7.28,4.12,0.59,3.09,0.74,0.00,2.35,1.10,3.16,5.29,0.00,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,1.20,0.78,0.86,0.33,0.00,0.36,1.14,31.7,0.78,6.91,2.98,43.1,4.57,2.01,0.33,1.98,1.03,0.08,0.95,1.00,2.20,4.51,0.03,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,0.03,0.03,0.03,0.00,0.00,0.03,0.06,50.0,0.03,0.21,0.06,28.6,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.12,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1.27,0.76,0.93,0.34,0.00,0.59,1.27,46.7,0.68,8.36,2.85,34.1,5.93,2.23,0.20,2.06,0.93,0.00,1.13,0.73,2.01,7.60,0.11,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,2.17,1.48,1.48,0.52,0.17,0.87,1.91,45.5,1.04,9.48,2.43,25.7,4.87,3.48,1.13,0.96,0.43,0.00,0.52,0.52,2.70,2.52,0.00,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,0.56,0.25,0.43,0.12,0.00,0.31,0.68,45.5,0.37,5.03,1.80,35.8,3.35,1.61,0.06,1.61,1.18,0.00,0.43,0.75,1.30,6.89,0.12,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,1.56,0.98,0.98,0.49,0.08,0.41,1.89,21.7,1.48,21.3,4.51,21.2,6.80,10.4,4.10,1.56,0.08,0.00,1.48,0.66,2.21,0.90,0.00,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,1.28,0.82,0.82,0.43,0.03,0.72,1.12,64.3,0.40,7.39,2.95,39.9,4.73,2.13,0.53,1.44,0.56,0.00,0.88,1.04,2.31,7.21,0.11,Matches
133,£ukasz Fabiañski\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.0,0.13,0.43,0.09,20.0,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,3.33,2.29,1.17,1.60,0.56,1.13,2.81,40.0,1.69,18.5,6.02,32.5,6.45,9.48,2.60,1.56,0.09,0.00,1.47,1.08,4.42,1.47,0.00,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,2.49,1.29,1.77,0.60,0.12,1.04,2.85,36.6,1.81,15.5,3.90,25.2,8.47,5.54,1.45,1.41,0.08,0.00,1.33,1.12,3.61,2.49,0.04,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,1.44,1.06,0.53,0.61,0.30,0.38,2.58,14.7,2.20,19.7,4.92,25.0,4.47,9.39,5.83,1.06,0.00,0.00,1.06,0.53,1.97,0.91,0.00,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,1.25,1.25,1.25,0.00,0.00,0.00,1.25,0.0,1.25,22.5,6.25,27.8,8.75,8.75,5.00,1.25,0.00,0.00,1.25,0.00,1.25,0.00,0.00,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,1.72,1.10,1.41,0.27,0.03,0.93,1.75,52.9,0.82,7.94,2.51,31.6,5.84,1.65,0.45,2.10,1.07,0.00,1.03,0.27,1.99,7.35,0.03,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,1.65,0.94,1.09,0.56,0.00,0.68,1.73,39.1,1.05,8.16,3.35,41.0,3.98,3.38,0.79,1.50,0.64,0.04,0.86,0.60,2.26,3.98,0.04,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,1.11,0.78,0.21,0.51,0.39,0.30,1.02,29.4,0.72,20.9,6.51,31.1,1.75,9.22,9.94,1.42,0.15,0.00,1.27,0.33,1.45,0.48,0.00,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,1.36,0.86,0.61,0.54,0.21,0.64,2.64,24.3,2.00,19.7,5.21,26.5,5.39,10.3,3.96,1.57,0.11,0.00,1.46,0.71,2.07,0.86,0.00,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,1.60,0.90,0.50,0.80,0.30,0.70,1.70,41.2,1.00,25.3,7.40,29.2,4.30,10.5,10.5,0.90,0.00,0.00,0.90,0.30,1.90,0.30,0.00,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,1.74,1.20,0.71,0.75,0.29,0.66,2.90,22.9,2.24,24.8,6.47,26.1,6.35,11.4,7.01,2.12,0.04,0.00,2.07,0.62,2.37,0.41,0.00,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.0,0.08,0.24,0.00,0.0,0.24,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.05,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,0.67,0.67,0.67,0.00,0.00,0.67,2.67,25.0,2.00,12.7,3.33,26.3,6.00,6.00,0.67,0.00,0.00,0.00,0.00,2.67,3.33,1.33,0.00,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,1.43,1.43,1.43,0.00,0.00,0.00,1.43,0.0,1.43,25.7,8.57,33.3,10.0,11.4,4.29,2.86,0.00,0.00,2.86,1.43,2.86,1.43,0.00,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,8.75,5.00,6.25,1.25,1.25,2.50,3.75,66.7,1.25,17.5,6.25,35.7,12.5,5.00,0.00,2.50,0.00,0.00,2.50,3.75,12.5,5.00,0.00,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,1.57,1.11,1.20,0.37,0.00,1.02,2.31,44.0,1.30,9.91,2.69,27.1,6.57,2.22,1.11,2.69,1.30,0.00,1.39,0.65,2.22,8.43,0.19,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,0.39,0.35,0.13,0.13,0.13,0.17,0.74,23.5,0.57,13.0,2.83,21.8,3.43,5.35,4.17,1.22,0.13,0.09,1.09,0.43,0.83,0.78,0.00,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,3.29,2.13,1.71,1.38,0.21,1.21,4.08,29.6,2.88,29.5,8.08,27.4,12.0,13.7,3.75,2.67,0.33,0.00,2.33,1.17,4.46,1.08,0.00,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,3.45,1.93,2.53,0.60,0.32,1.33,2.61,50.8,1.29,13.1,3.90,29.8,7.87,3.41,1.77,1.69,0.36,0.04,1.33,0.80,4.26,3.65,0.00,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,0.00,0.0,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,1.22,0.98,0.24,0.73,0.24,0.49,2.20,22.2,1.71,23.4,5.85,25.0,7.80,10.0,5.61,2.20,0.00,0.00,2.20,1.71,2.93,1.46,0.00,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,1.74,1.05,0.93,0.81,0.00,0.93,2.67,34.8,1.74,16.7,5.23,31.3,10.2,5.93,0.58,3.37,0.35,0.00,3.02,1.63,3.37,4.53,0.12,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,1.36,0.45,0.91,0.34,0.11,0.68,1.25,54.5,0.57,8.41,2.27,27.0,5.00,2.84,0.57,0.91,0.00,0.00,0.91,1.14,2.50,5.23,0.11,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,20.0,0.00,0.0,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,1.38,1.06,0.53,0.74,0.11,0.21,0.53,40.0,0.32,12.7,3.51,27.7,2.02,5.85,4.79,1.06,0.53,0.00,0.53,0.11,1.49,0.85,0.00,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.06,0.00,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,3.33,2.67,1.33,0.67,1.33,0.67,2.67,25.0,2.00,19.3,8.67,44.8,8.67,7.33,3.33,1.33,0.00,0.00,1.33,0.00,3.33,4.00,0.00,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.03,0.00,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,0.75,0.44,0.44,0.22,0.09,0.22,1.05,20.8,0.83,15.4,3.25,21.1,3.07,7.15,5.13,0.79,0.04,0.00,0.75,0.48,1.23,0.53,0.00,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0.71,0.71,0.00,0.71,0.00,0.00,0.00,,0.00,19.3,7.14,37.0,3.57,10.7,5.00,1.43,0.00,0.00,1.43,0.00,0.71,0.00,0.00,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,2.73,1.82,1.82,0.91,0.00,1.36,2.73,50.0,1.36,16.4,6.36,38.9,6.82,9.09,0.45,2.73,0.00,0.00,2.73,0.91,3.64,0.45,0.00,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,0.36,0.27,0.09,0.27,0.00,0.00,0.91,0.0,0.91,18.4,5.27,28.7,0.91,8.91,8.55,1.82,0.55,0.00,1.27,0.09,0.45,1.18,0.00,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,1.16,0.75,0.88,0.24,0.03,0.41,0.82,50.0,0.41,7.96,2.62,32.9,5.51,2.21,0.24,1.60,1.09,0.00,0.51,0.58,1.73,5.88,0.14,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,1.98,1.48,0.80,0.86,0.31,0.43,3.89,11.1,3.46,22.7,5.68,25.1,7.84,12.0,2.78,1.73,0.19,0.00,1.54,0.31,2.28,0.62,0.00,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,55.0,5.00,9.1,30.0,20.0,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,1.17,0.67,0.76,0.40,0.00,0.45,0.99,45.5,0.54,6.77,2.69,39.7,4.13,2.47,0.18,1.12,0.36,0.00,0.76,0.85,2.02,4.04,0.04,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,1.63,1.22,0.82,0.82,0.00,0.20,2.86,7.1,2.65,24.7,5.31,21.5,7.96,12.7,4.08,2.45,0.41,0.00,2.04,0.20,1.84,0.61,0.00,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,2.00,1.43,1.14,0.57,0.29,0.50,2.14,23.3,1.64,25.4,6.57,25.8,9.50,10.6,5.29,2.71,0.79,0.00,1.93,0.86,2.86,1.93,0.00,Matches
