Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,57.5,1.79,14.3,24.3,21.1,0.71,50.4,0.71,0.71,100.0,0.71,0.00,32.1,172.9,90.7,36.4,33.6,92.2,1.07,0.71,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,62.8,3.79,18.7,29.4,17.8,1.10,49.3,0.21,0.48,42.9,0.21,0.00,27.4,159.8,79.1,31.9,28.7,89.8,0.90,0.62,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,38.0,1.09,4.70,17.7,18.2,4.48,36.6,1.64,3.11,52.6,1.69,0.00,26.2,185.0,100.7,44.7,25.7,57.6,3.17,3.01,Matches
438,Tomáš Souèek\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,45.7,4.31,13.4,23.4,10.2,2.93,45.3,0.09,0.52,16.7,0.17,0.09,20.5,72.2,27.4,32.5,25.1,77.2,0.69,0.17,Matches
439,Ça?lar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,78.0,8.75,40.7,39.4,2.46,0.98,76.5,0.53,0.65,81.8,0.56,0.00,52.0,310.4,138.7,55.0,54.3,98.8,0.24,0.24,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,76.0,2.00,10.0,38.0,30.0,6.00,76.0,2.00,8.00,25.0,2.00,2.00,52.0,188.0,88.0,88.0,54.0,61.4,4.00,6.00,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,55.9,5.17,21.1,25.0,13.7,1.51,47.0,0.93,1.51,61.5,1.10,0.00,29.8,197.4,112.3,32.0,27.8,86.9,0.93,0.76,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,49.0,1.27,8.61,18.7,24.8,2.28,44.1,1.65,2.66,61.9,1.77,0.25,34.3,225.4,123.8,39.1,32.3,82.5,1.27,1.14,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,20.0,20.0,20.0,0.00,0.00,0.00,10.0,0.00,0.00,,0.00,0.00,10.0,0.00,0.00,10.0,10.0,100.0,0.00,0.00,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,67.7,3.31,20.6,40.6,10.4,0.32,67.0,0.36,0.39,90.9,0.36,0.00,45.6,214.2,80.5,49.4,46.9,95.0,0.39,0.57,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,56.8,7.76,30.3,28.8,1.62,0.59,55.1,0.29,0.44,66.7,0.29,0.04,29.8,183.9,102.9,31.7,30.9,97.4,0.29,0.26,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,55.5,0.41,3.15,19.4,36.8,10.0,54.8,2.00,4.34,46.1,2.27,0.10,45.0,298.1,198.3,57.2,45.5,79.6,1.73,2.41,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,61.8,2.53,14.0,26.5,24.8,2.18,53.2,1.67,2.34,71.3,1.72,0.16,38.9,219.0,124.1,39.7,36.3,91.5,1.05,1.51,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,42.3,1.98,7.25,22.3,16.0,3.05,40.8,1.53,2.60,58.8,1.68,0.23,29.9,187.9,110.3,43.8,30.8,70.4,1.76,1.60,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,88.0,8.80,35.1,56.5,4.40,0.88,86.9,0.24,0.32,75.0,0.32,0.00,61.3,443.3,265.8,69.3,68.2,98.4,0.16,0.00,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,41.3,0.00,2.50,15.0,30.0,3.75,41.3,1.25,5.00,25.0,2.50,0.00,35.0,208.8,120.0,68.8,33.8,49.1,3.75,2.50,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,52.7,2.67,16.0,24.0,16.7,0.00,49.3,2.00,2.00,100.0,2.00,0.00,37.3,186.0,89.3,35.3,34.0,96.2,0.67,0.67,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,56.9,3.46,21.9,28.1,8.46,0.00,53.5,0.38,0.38,100.0,0.38,0.00,28.1,125.0,36.2,31.9,30.4,95.2,1.15,0.38,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,66.7,0.00,6.67,16.7,43.3,16.7,66.7,3.33,6.67,50.0,3.33,0.00,36.7,240.0,153.3,120.0,56.7,47.2,13.3,3.33,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,55.2,5.52,23.6,27.9,6.55,0.34,49.3,1.21,1.72,70.0,1.21,0.00,28.6,147.4,78.4,29.5,26.9,91.2,0.86,1.38,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,58.9,4.86,20.1,25.4,16.4,1.29,49.6,0.39,0.90,43.5,0.55,0.04,29.7,129.2,72.7,32.7,30.2,92.6,0.24,0.78,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,47.7,8.24,25.2,21.0,2.92,1.89,47.0,0.39,0.42,93.8,0.42,0.00,19.2,92.1,37.4,21.9,20.8,95.2,0.37,0.13,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,61.2,5.09,20.2,27.5,17.4,0.46,48.5,0.88,1.81,48.7,1.02,0.14,28.4,240.1,116.4,30.4,28.4,93.5,0.56,0.79,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,52.1,5.12,19.2,24.6,9.92,0.41,44.0,0.17,0.25,66.7,0.17,0.00,25.0,92.7,47.2,30.0,26.6,88.7,0.33,0.17,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,3,2,66.7,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,57.5,4.96,21.7,32.2,6.81,0.46,57.0,0.62,0.92,66.7,0.73,0.00,36.6,189.0,86.0,37.8,36.5,96.4,0.85,0.46,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0.0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,73.3,1.67,14.0,32.7,30.7,1.67,65.0,0.67,1.00,66.7,0.67,0.00,47.3,200.3,107.0,51.0,48.0,94.1,1.33,0.67,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0.0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,68.2,0.99,10.4,37.2,24.2,1.88,65.3,0.96,1.46,65.2,0.99,0.06,46.5,197.2,107.6,56.5,50.5,89.5,1.02,1.62,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,60.4,3.73,19.8,25.5,17.9,1.55,52.6,1.09,1.45,75.0,1.09,0.09,34.6,196.5,102.3,38.4,35.0,91.2,1.09,0.55,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,48.7,8.86,32.0,16.7,1.93,1.19,47.1,0.06,0.06,100.0,0.06,0.00,22.7,101.9,50.6,25.9,25.1,96.9,0.06,0.17,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,89.3,10.3,49.4,42.2,3.50,0.56,88.2,0.49,0.77,63.6,0.63,0.00,65.5,312.2,151.2,67.1,66.0,98.4,0.28,0.35,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,64.9,3.45,18.2,39.5,11.1,1.85,63.2,0.77,0.95,81.3,0.77,0.06,43.3,202.6,92.4,45.7,42.2,92.4,0.65,0.95,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,34.5,0.50,5.00,17.0,14.0,5.00,34.5,3.50,4.00,87.5,3.50,0.00,28.0,171.5,89.0,62.0,27.0,43.5,2.50,2.00,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,30.0,0.31,1.88,9.06,20.3,7.81,29.7,0.31,1.56,20.0,0.31,0.00,16.6,83.8,25.3,41.6,22.8,54.9,0.94,0.63,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,44.9,1.04,8.13,21.7,21.0,1.94,42.9,2.50,3.54,70.6,2.64,0.07,35.8,319.3,159.3,38.0,29.1,76.6,1.94,2.50,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,48.4,0.97,5.22,23.0,26.5,4.08,46.6,5.40,7.30,73.9,5.57,0.10,43.3,457.1,300.2,48.2,36.2,75.0,2.84,3.11,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,33.0,33.0,33.0,0.00,0.00,0.00,24.0,0.00,0.00,,0.00,0.00,14.0,62.0,30.0,17.0,17.0,100.0,0.00,0.00,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,35.7,1.15,6.36,13.6,19.2,3.87,34.7,1.84,3.46,53.3,2.07,0.32,24.7,203.6,126.8,39.4,23.9,60.6,2.95,1.34,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,46.6,0.94,5.87,18.8,25.7,5.25,44.8,1.52,2.69,56.7,1.61,0.04,36.7,249.1,126.1,46.2,34.4,74.6,1.84,2.11,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,60.0,4.68,20.3,36.3,6.75,1.03,58.9,0.56,0.71,77.8,0.56,0.00,39.4,181.0,67.4,40.7,37.7,92.6,0.87,0.79,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,79.0,3.81,28.1,45.2,12.4,0.00,73.3,0.00,1.43,0.0,0.00,0.00,52.9,368.6,194.3,53.8,51.9,96.5,0.48,0.95,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,52.3,3.33,16.0,21.7,17.4,1.15,41.5,1.38,2.87,48.0,1.49,0.00,23.8,179.3,92.4,27.9,20.7,74.1,1.49,2.18,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,68.9,11.1,33.9,35.6,3.33,0.56,68.9,0.56,0.56,100.0,0.56,0.00,47.2,178.9,94.4,50.0,46.1,92.2,0.56,0.56,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,21.8,0.83,1.10,9.11,12.5,5.58,19.9,0.74,1.31,56.8,0.83,0.03,11.9,95.7,59.5,36.3,14.9,41.1,1.78,0.68,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,26.7,0.00,0.00,5.00,23.3,5.00,25.0,1.67,3.33,50.0,3.33,0.00,25.0,131.7,33.3,51.7,16.7,32.3,1.67,1.67,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,72.5,9.07,34.0,37.5,4.54,0.33,67.0,0.11,0.27,40.0,0.11,0.00,42.9,221.9,111.7,45.5,44.8,98.3,0.22,0.33,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,62.7,7.29,29.8,33.6,2.89,0.90,59.9,0.18,0.30,60.0,0.18,0.00,32.2,171.3,94.0,34.9,34.2,97.9,0.18,0.24,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,65.3,2.08,19.2,30.0,20.3,2.22,55.4,2.50,5.69,43.9,2.92,0.28,43.9,323.3,221.4,42.5,36.1,85.0,1.39,2.78,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,82.0,1.00,11.0,44.0,33.0,5.00,70.0,0.00,0.00,,0.00,0.00,56.0,310.0,150.0,63.0,58.0,92.1,1.00,2.00,Matches
486,Mario Vranèiæ\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,74.1,1.69,17.6,43.4,17.0,1.69,72.4,0.42,0.70,60.0,0.42,0.14,46.8,266.2,162.8,55.5,51.0,91.9,0.56,1.55,Matches
487,Matìj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,26.2,1.10,2.09,10.2,15.2,3.96,25.8,0.77,1.87,41.2,0.99,0.11,12.7,82.7,51.0,45.3,18.0,39.8,2.31,0.99,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,40.2,0.56,5.31,15.4,21.8,5.38,39.4,1.47,2.52,58.3,1.68,0.14,29.1,169.0,100.9,39.6,27.8,70.1,1.96,2.03,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,87.9,2.44,17.6,54.7,22.4,1.35,79.6,0.94,1.20,78.1,1.02,0.08,60.9,377.0,211.0,66.5,63.6,95.6,0.53,0.68,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,68.7,4.23,20.4,36.7,18.2,1.79,56.5,2.56,2.95,87.0,2.56,0.13,42.8,310.3,178.7,38.8,36.9,95.0,0.64,1.15,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,90.4,4.81,25.6,43.7,27.8,2.22,81.1,1.11,1.48,75.0,1.11,0.00,69.6,358.1,224.8,65.6,63.3,96.6,0.00,1.48,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,75.1,3.05,21.7,34.8,22.7,1.35,64.0,1.73,2.67,64.8,1.76,0.09,45.4,244.4,145.8,46.0,42.7,92.7,0.76,1.26,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,70.0,0.00,16.7,63.3,3.33,0.00,63.3,3.33,3.33,100.0,3.33,0.00,40.0,373.3,246.7,40.0,40.0,100.0,0.00,0.00,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,58.3,4.49,19.7,28.8,12.6,0.42,47.8,0.49,0.72,68.4,0.53,0.08,28.5,137.7,75.7,30.2,28.1,93.1,0.45,0.75,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,63.1,3.26,11.9,33.0,20.4,1.45,53.2,0.39,0.55,71.4,0.42,0.03,29.3,111.1,44.7,35.8,31.5,87.8,0.63,0.42,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,25.0,10.0,25.0,0.00,0.00,0.00,25.0,0.00,0.00,,0.00,0.00,15.0,85.0,25.0,15.0,15.0,100.0,0.00,0.00,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,73.5,11.8,43.3,31.7,4.43,1.01,70.9,0.41,0.47,85.7,0.41,0.00,45.5,320.3,201.0,48.1,47.3,98.2,0.27,0.47,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,31.0,0.55,3.63,12.1,17.4,5.27,30.1,0.99,2.09,47.4,0.99,0.00,21.4,154.3,73.8,38.9,21.8,55.9,2.42,2.09,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,59.5,1.80,9.23,36.7,15.5,0.54,53.8,0.29,0.66,43.5,0.31,0.03,34.3,133.0,58.9,39.4,36.2,91.8,0.49,0.46,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,56.4,0.00,4.55,25.5,28.2,6.36,54.5,1.82,2.73,66.7,1.82,0.00,26.4,142.7,50.9,71.8,41.8,58.2,3.64,3.64,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,58.9,1.26,8.87,36.5,17.3,2.52,58.0,1.50,2.39,62.8,1.53,0.15,46.1,249.8,111.0,50.2,44.2,88.1,1.10,1.26,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,45.5,3.67,15.8,18.2,13.4,1.33,37.8,1.81,2.35,76.9,1.81,0.00,24.6,123.3,79.2,24.5,20.8,85.0,0.54,0.42,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,68.2,3.39,21.0,32.6,20.2,2.59,61.0,1.25,1.79,70.0,1.34,0.00,45.3,286.2,183.8,48.0,44.6,92.9,1.25,0.89,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,94.2,1.15,22.7,42.3,34.6,3.85,80.8,2.31,5.00,46.2,2.69,0.00,58.1,305.0,147.7,64.6,56.5,87.5,1.15,0.00,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,66.7,0.69,7.23,27.4,37.8,4.81,61.8,2.15,2.98,72.1,2.25,0.10,50.3,426.9,238.5,59.9,49.8,83.1,1.76,1.38,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,54.2,2.95,11.5,29.4,18.6,3.89,53.2,2.32,3.47,66.7,2.42,0.32,40.4,298.2,177.7,43.7,35.1,80.2,2.84,2.00,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,45.0,0.42,5.42,28.3,12.9,1.67,44.2,2.08,4.17,50.0,2.50,0.42,33.3,211.3,103.8,39.2,31.7,80.9,1.25,5.42,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,27.3,0.65,2.11,10.7,16.0,5.45,26.4,0.74,1.49,50.0,0.77,0.00,18.7,104.6,56.8,43.0,19.9,46.2,3.25,1.70,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,46.8,1.42,6.89,20.8,21.9,3.22,43.4,1.09,2.08,52.6,1.26,0.00,30.9,197.6,96.3,36.3,29.5,81.1,1.64,1.09,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,74.5,2.35,16.7,49.8,12.9,0.16,71.8,0.57,0.89,63.6,0.61,0.04,53.1,298.1,151.8,57.6,55.8,96.8,0.40,0.61,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,28.2,0.81,2.18,11.4,15.5,4.13,27.6,0.33,0.74,45.0,0.37,0.04,13.5,53.4,25.5,48.5,21.4,44.1,3.14,1.14,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,74.7,4.39,22.2,46.1,10.9,0.63,73.0,0.94,1.11,84.4,0.94,0.07,53.2,258.9,125.9,57.2,54.3,94.9,0.35,0.42,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,49.5,1.00,7.45,20.3,24.3,5.27,48.5,0.91,1.45,62.5,0.91,0.00,36.9,215.3,118.1,52.0,38.0,73.1,2.18,1.64,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,39.1,3.75,14.5,15.9,10.6,0.48,35.2,0.48,1.06,45.5,0.58,0.00,20.4,110.8,67.2,26.6,21.6,81.2,0.58,0.48,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,51.1,6.29,26.9,23.2,3.23,0.81,49.8,0.16,0.16,100.0,0.16,0.00,27.4,132.7,46.8,31.3,30.2,96.4,0.16,0.48,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,78.9,3.49,18.3,41.7,22.5,1.04,61.9,0.75,1.60,47.1,0.85,0.19,47.5,204.4,114.8,47.9,45.2,94.3,0.47,0.28,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,60.3,5.61,17.9,31.1,14.1,1.21,50.3,0.00,0.30,0.0,0.00,0.00,29.8,152.1,80.3,34.5,30.6,88.6,0.30,0.30,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,51.1,0.27,5.33,23.9,27.3,6.21,50.3,4.45,7.20,61.8,4.73,0.19,47.1,373.4,246.8,53.7,40.1,74.6,3.38,4.73,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,51.9,11.5,34.6,20.2,1.26,0.44,50.8,0.25,0.38,66.7,0.25,0.00,27.9,201.1,122.3,28.7,28.5,99.3,0.25,0.31,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,103.3,2.04,19.7,52.7,37.1,0.70,95.3,0.35,0.70,50.0,0.35,0.00,67.7,284.0,162.8,80.5,77.5,96.3,0.42,0.56,Matches
521,Richairo Živkoviæ\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,25.8,0.00,0.83,12.5,15.0,1.67,23.3,0.83,2.50,33.3,0.83,0.00,19.2,118.3,61.7,46.7,19.2,41.1,3.33,2.50,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,88.1,10.2,47.0,44.6,1.92,0.77,87.0,0.31,0.46,66.7,0.35,0.00,61.1,310.0,165.8,65.3,64.4,98.6,0.23,0.19,Matches
