Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,OG,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,1.53,1.53,1.35,0.00,0.09,0.09,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,1.05,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,1.90,1.95,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,2.22,2.23,1.54,0.00,0.17,0.17,0.34,0.00,0.26,0.26,0.17,0.00,0.00,0.09,0.00,0.00,0.00,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,2.18,2.18,1.76,0.21,0.05,0.05,0.10,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,2.55,2.55,1.79,0.60,0.13,0.04,0.00,0.00,0.26,0.25,0.13,0.09,0.04,0.00,0.00,0.00,0.00,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,1.82,1.83,1.48,0.15,0.00,0.00,0.10,0.10,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches
425,Gylfi Sigur?sson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,2.92,2.92,1.13,1.09,0.14,0.39,0.07,0.11,0.28,0.28,0.14,0.07,0.04,0.04,0.00,0.00,0.00,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,4.20,4.21,3.58,0.09,0.27,0.18,0.04,0.04,0.53,0.53,0.40,0.00,0.09,0.04,0.00,0.00,0.00,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,5.52,5.52,4.33,0.05,0.39,0.30,0.25,0.20,0.99,0.99,0.64,0.05,0.05,0.05,0.05,0.15,0.00,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1.03,1.03,0.96,0.00,0.04,0.00,0.00,0.04,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,0.91,0.92,0.91,0.00,0.00,0.00,0.00,0.00,0.45,0.46,0.45,0.00,0.00,0.00,0.00,0.00,0.00,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,0.83,0.83,0.70,0.00,0.04,0.00,0.09,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,3.04,3.04,1.13,1.43,0.18,0.06,0.24,0.00,0.42,0.42,0.18,0.24,0.00,0.00,0.00,0.00,0.00,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,1.07,1.08,0.71,0.36,0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,1.66,1.65,1.45,0.14,0.00,0.00,0.00,0.07,0.21,0.21,0.07,0.07,0.00,0.00,0.00,0.07,0.00,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,2.35,2.34,1.64,0.00,0.16,0.27,0.27,0.00,0.27,0.27,0.11,0.00,0.05,0.05,0.05,0.00,0.00,Matches
438,Tomáš Souèek\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,0.69,0.69,0.60,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
439,Ça?lar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,0.42,0.42,0.30,0.03,0.00,0.06,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,0.93,0.93,0.81,0.00,0.12,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,3.04,3.03,1.65,0.89,0.25,0.25,0.00,0.00,0.51,0.51,0.13,0.00,0.13,0.25,0.00,0.00,0.00,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,1.46,1.46,1.35,0.00,0.00,0.07,0.00,0.04,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,0.59,0.59,0.48,0.04,0.04,0.00,0.00,0.04,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,3.97,3.97,2.78,0.03,0.34,0.41,0.37,0.03,0.37,0.37,0.17,0.00,0.00,0.10,0.10,0.00,0.00,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1.80,1.80,1.45,0.16,0.11,0.08,0.00,0.00,0.24,0.24,0.22,0.00,0.03,0.00,0.00,0.00,0.00,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,2.52,2.52,2.06,0.00,0.38,0.08,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,0.88,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,5.00,5.14,2.50,0.00,0.00,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,1.33,1.31,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,2.20,2.20,1.80,0.24,0.00,0.04,0.04,0.08,0.20,0.20,0.12,0.00,0.00,0.04,0.00,0.04,0.00,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,0.71,0.71,0.58,0.00,0.00,0.11,0.00,0.03,0.18,0.18,0.13,0.00,0.00,0.05,0.00,0.00,0.00,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,0.97,0.97,0.88,0.00,0.00,0.00,0.09,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,0.83,0.82,0.83,0.00,0.00,0.00,0.00,0.00,0.17,0.16,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,30.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,0.69,0.69,0.62,0.00,0.00,0.08,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,5.00,5.06,5.00,0.00,0.00,0.00,0.00,0.00,0.33,0.34,0.33,0.00,0.00,0.00,0.00,0.00,0.00,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,3.03,3.02,2.55,0.16,0.03,0.06,0.16,0.06,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,1.00,1.00,0.73,0.09,0.18,0.00,0.00,0.00,0.27,0.27,0.18,0.09,0.00,0.00,0.00,0.00,0.00,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,0.28,0.28,0.23,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,0.98,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,1.73,1.73,1.19,0.18,0.12,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,1.00,1.02,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,2.19,2.16,1.88,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,1.60,1.60,1.18,0.07,0.00,0.14,0.14,0.07,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,3.43,3.42,2.28,0.00,0.62,0.00,0.42,0.10,0.52,0.52,0.38,0.00,0.03,0.00,0.07,0.03,0.00,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,2.17,2.17,1.34,0.09,0.23,0.18,0.18,0.14,0.09,0.09,0.05,0.00,0.00,0.00,0.05,0.00,0.00,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,3.59,3.58,2.47,0.40,0.31,0.13,0.13,0.09,0.40,0.40,0.18,0.09,0.04,0.04,0.00,0.00,0.04,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,0.71,0.72,0.56,0.00,0.08,0.08,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0.95,0.95,0.48,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,0.80,0.81,0.57,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,1.93,1.93,1.19,0.00,0.33,0.18,0.15,0.06,0.36,0.36,0.18,0.00,0.06,0.03,0.06,0.00,0.03,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,1.67,1.76,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,0.44,0.44,0.38,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,1.25,1.24,0.83,0.14,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
486,Mario Vranèiæ\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,3.10,3.11,2.25,0.00,0.00,0.56,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
487,Matìj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,2.31,2.31,1.43,0.00,0.44,0.11,0.33,0.00,0.33,0.33,0.11,0.00,0.22,0.00,0.00,0.00,0.00,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,2.24,2.24,1.68,0.00,0.21,0.21,0.14,0.00,0.28,0.28,0.21,0.00,0.00,0.07,0.00,0.00,0.00,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,1.84,1.84,1.69,0.00,0.11,0.00,0.04,0.00,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,0.90,0.90,0.77,0.00,0.00,0.13,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,2.22,2.24,1.48,0.00,0.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,1.38,1.38,1.17,0.06,0.15,0.00,0.00,0.00,0.18,0.18,0.15,0.00,0.03,0.00,0.00,0.00,0.00,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,3.33,3.60,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,0.34,0.34,0.30,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.04,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,2.79,2.79,1.24,1.18,0.00,0.18,0.08,0.11,0.16,0.16,0.05,0.05,0.00,0.03,0.03,0.00,0.00,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,0.74,0.74,0.64,0.03,0.03,0.00,0.00,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,0.99,0.99,0.66,0.00,0.22,0.00,0.11,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.00,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,2.69,2.69,1.71,0.83,0.00,0.06,0.03,0.03,0.26,0.26,0.09,0.14,0.00,0.00,0.00,0.00,0.03,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,1.82,1.87,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,1.41,1.41,1.10,0.00,0.15,0.03,0.09,0.03,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,2.11,2.11,1.63,0.18,0.24,0.00,0.00,0.06,0.36,0.36,0.24,0.06,0.06,0.00,0.00,0.00,0.00,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,2.14,2.15,1.88,0.09,0.09,0.00,0.09,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.09,0.00,0.00,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,1.54,1.57,1.15,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,5.12,5.12,3.39,1.07,0.21,0.14,0.21,0.10,0.48,0.48,0.35,0.03,0.00,0.03,0.03,0.03,0.00,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,3.47,3.47,2.74,0.00,0.32,0.11,0.11,0.21,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,0.42,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,1.80,1.80,1.33,0.00,0.09,0.15,0.22,0.00,0.22,0.22,0.06,0.00,0.03,0.03,0.09,0.00,0.00,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,2.40,2.41,1.64,0.16,0.05,0.11,0.38,0.05,0.16,0.16,0.05,0.00,0.00,0.05,0.05,0.00,0.00,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,1.54,1.54,1.38,0.12,0.00,0.00,0.00,0.04,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,1.85,1.85,1.18,0.00,0.18,0.15,0.30,0.04,0.15,0.15,0.11,0.00,0.00,0.00,0.00,0.04,0.00,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,1.46,1.46,1.15,0.03,0.07,0.03,0.07,0.10,0.14,0.14,0.10,0.00,0.00,0.00,0.03,0.00,0.00,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,3.18,3.18,2.64,0.09,0.27,0.09,0.09,0.00,0.55,0.54,0.36,0.00,0.18,0.00,0.00,0.00,0.00,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,1.44,1.44,1.25,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0.32,0.32,0.16,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,2.45,2.45,1.04,1.23,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,0.76,0.76,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,2.94,2.94,1.70,0.00,0.60,0.14,0.41,0.05,0.22,0.22,0.11,0.00,0.00,0.03,0.05,0.00,0.03,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,0.25,0.25,0.06,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,2.18,2.19,2.11,0.07,0.00,0.00,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches
521,Richairo Živkoviæ\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,1.67,1.61,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,0.54,0.54,0.46,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
